Date;Priming;BurstIntensity
29/04/2013;9.607894391523232;0.10810810810811167
30/04/2013;9.823793146181776;0.10810810810811167
01/05/2013;9.955654174830928;0.0
02/05/2013;1.4085842092104504;0.5405405405405467
03/05/2013;1.690133154060661;0.0
04/05/2013;2.010011912257319;0.0
05/05/2013;2.3692775868212177;1.2027027027027
06/05/2013;2.7680432110155637;1.2027027027027
07/05/2013;3.2053052101554123;1.2027027027027
08/05/2013;3.6787944117144233;4.2372881355932215
09/05/2013;4.184863060425645;7.473684210526317
10/05/2013;4.718419924920745;5.635593220338984
11/05/2013;1.4085842092104504;4.7203389830508495
12/05/2013;1.690133154060661;4.7203389830508495
13/05/2013;2.010011912257319;5.432203389830509
14/05/2013;2.3692775868212177;5.432203389830509
15/05/2013;2.7680432110155637;5.432203389830509
16/05/2013;3.2053052101554123;5.432203389830509
